name,jobtitle,affiliation,webpage,x,bluesky,time
Rana Hanocka,Assistant Professor,University of Chicago,https://people.cs.uchicago.edu/~ranahanocka/,https://twitter.com/RanaHanocka,https://bsky.app/profile/ranahanocka.bsky.social,08:30
Alan Yuille,Professor,Johns Hopkins University,https://www.cs.jhu.edu/~ayuille1/index.html,,,09:00
Christian Theobalt,Professor,Max-Planck-Institute for Informatics,https://people.mpi-inf.mpg.de/~theobalt/,,,09:30
Taesung Park,Co-founder,Reve,https://taesung.me/,,,11:30
Saining Xie,Assistant Professor,"New York University, AMI Labs",https://www.sainingxie.com/,https://x.com/sainingxie,https://bsky.app/profile/saining.bsky.social,12:00
