name,jobtitle,affiliation,webpage,x,bluesky,time
Maneesh Agrawala,Professor,Stanford University,https://graphics.stanford.edu/~maneesh/,,https://bsky.app/profile/magrawala.bsky.social,0900
Kai Zhang,Research Scientist,Adobe,https://kai-46.github.io/website/,,,0930
Charles Herrmann,Research Scientist,Google,https://scholar.google.com/citations?user=LQvi5XAAAAAJ,,,1030
Mark Boss,Research Scientist,Stability AI,https://markboss.me/,,,1100
Yutong Bai,Postdoc,UC Berkeley,https://yutongbai.com/,https://x.com/YutongBAI1002,,1400
Nanxuan (Cherry) Zhao,Research Scientist,Adobe,https://nxzhao.com/,,,1430
Ishan Misra,Research Scientist,Meta,https://imisra.github.io/,https://x.com/imisra_,,1530
